,id,Group,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,6DCZcSspjsKoFjzjrWoCd,gr1,God's Plan,Drake,0.754,0.449,7.0,-9.211,1.0,0.109,0.0332,8.290000000000001e-05,0.552,0.35700000000000004,77.169,198973.0,4.0
1,3ee8Jmje8o58CHK66QrVC,gr2,SAD!,XXXTENTACION,0.74,0.613,8.0,-4.88,1.0,0.145,0.258,0.00372,0.12300000000000001,0.473,75.023,166606.0,4.0
2,0e7ipj03S05BNilyu5bRz,gr3,rockstar (feat. 21 Savage),Post Malone,0.5870000000000001,0.535,5.0,-6.09,0.0,0.0898,0.11699999999999999,6.56e-05,0.131,0.14,159.847,218147.0,4.0
3,3swc6WTsr7rl9DqQKQA55,gr4,Psycho (feat. Ty Dolla $ign),Post Malone,0.7390000000000001,0.5589999999999999,8.0,-8.011000000000001,1.0,0.11699999999999999,0.58,0.0,0.11199999999999999,0.439,140.124,221440.0,4.0
4,2G7V7zsVDxg1yRsu7Ew9R,gr5,In My Feelings,Drake,0.835,0.626,1.0,-5.832999999999999,1.0,0.125,0.0589,5.9999999999999995e-05,0.396,0.35,91.03,217925.0,4.0
5,7dt6x5M1jzdTEt8oCbisT,gr6,Better Now,Post Malone,0.68,0.563,10.0,-5.843,1.0,0.0454,0.354,0.0,0.136,0.374,145.028,231267.0,4.0
6,58q2HKrzhC3ozto2nDdN4,gr7,I Like It,Cardi B,0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.37200000000000005,0.65,136.048,253390.0,4.0
7,7ef4DlsgrMEH11cDZd32M,gr8,One Kiss (with Dua Lipa),Calvin Harris,0.7909999999999999,0.862,9.0,-3.24,0.0,0.11,0.037000000000000005,2.1899999999999997e-05,0.0814,0.5920000000000001,123.994,214847.0,4.0
8,76cy1WJvNGJTj78UqeA5z,gr9,IDGAF,Dua Lipa,0.836,0.544,7.0,-5.975,1.0,0.0943,0.0403,0.0,0.0824,0.51,97.02799999999999,217947.0,4.0
9,08bNPGLD8AhKpnnERrAc6,gr10,FRIENDS,Marshmello,0.626,0.88,9.0,-2.384,0.0,0.0504,0.205,0.0,0.128,0.534,95.079,202621.0,4.0
